Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2026-04-09T12:00Z,63,64,low
2026-04-09T12:30Z,57,59,low
2026-04-09T13:00Z,61,58,low
2026-04-09T13:30Z,60,47,low
2026-04-09T14:00Z,59,47,low
2026-04-09T14:30Z,56,56,low
2026-04-09T15:00Z,56,53,low
2026-04-09T15:30Z,55,46,low
2026-04-09T16:00Z,54,44,low
2026-04-09T16:30Z,61,44,low
2026-04-09T17:00Z,63,45,low
2026-04-09T17:30Z,68,51,low
2026-04-09T18:00Z,65,55,low
2026-04-09T18:30Z,70,57,low
2026-04-09T19:00Z,69,58,low
2026-04-09T19:30Z,62,61,low
2026-04-09T20:00Z,52,56,low
2026-04-09T20:30Z,47,52,low
2026-04-09T21:00Z,42,42,low
2026-04-09T21:30Z,43,43,low
2026-04-09T22:00Z,45,41,low
2026-04-09T22:30Z,44,38,low
2026-04-09T23:00Z,44,40,low
2026-04-09T23:30Z,43,38,low
2026-04-10T00:00Z,43,39,low
2026-04-10T00:30Z,43,44,low
2026-04-10T01:00Z,36,48,low
2026-04-10T01:30Z,34,51,low
2026-04-10T02:00Z,33,37,low
2026-04-10T02:30Z,35,33,low
2026-04-10T03:00Z,34,32,low
2026-04-10T03:30Z,36,35,low
2026-04-10T04:00Z,47,34,low
2026-04-10T04:30Z,58,36,low
2026-04-10T05:00Z,80,45,low
2026-04-10T05:30Z,97,54,moderate
2026-04-10T06:00Z,116,81,moderate
2026-04-10T06:30Z,122,107,moderate
2026-04-10T07:00Z,125,137,moderate
2026-04-10T07:30Z,123,150,moderate
2026-04-10T08:00Z,121,130,moderate
2026-04-10T08:30Z,114,125,moderate
2026-04-10T09:00Z,118,127,moderate
2026-04-10T09:30Z,114,119,moderate
2026-04-10T10:00Z,110,118,moderate
2026-04-10T10:30Z,109,120,moderate
2026-04-10T11:00Z,104,124,moderate
2026-04-10T11:30Z,98,108,moderate
2026-04-10T12:00Z,90,100,moderate
2026-04-10T12:30Z,89,95,low
2026-04-10T13:00Z,90,97,moderate
2026-04-10T13:30Z,91,96,moderate
2026-04-10T14:00Z,95,94,moderate
2026-04-10T14:30Z,97,80,moderate
2026-04-10T15:00Z,94,76,moderate
2026-04-10T15:30Z,97,102,moderate
2026-04-10T16:00Z,115,105,moderate
2026-04-10T16:30Z,122,99,moderate
2026-04-10T17:00Z,126,93,moderate
2026-04-10T17:30Z,124,81,moderate
2026-04-10T18:00Z,122,123,moderate
2026-04-10T18:30Z,121,119,moderate
2026-04-10T19:00Z,118,119,moderate
2026-04-10T19:30Z,115,118,moderate
2026-04-10T20:00Z,105,109,moderate
2026-04-10T20:30Z,91,113,moderate
2026-04-10T21:00Z,90,103,moderate
2026-04-10T21:30Z,80,91,low
2026-04-10T22:00Z,80,86,low
2026-04-10T22:30Z,71,83,low
2026-04-10T23:00Z,69,75,low
2026-04-10T23:30Z,71,70,low
2026-04-11T00:00Z,70,69,low
2026-04-11T00:30Z,71,69,low
2026-04-11T01:00Z,63,71,low
2026-04-11T01:30Z,51,67,low
2026-04-11T02:00Z,46,61,low
2026-04-11T02:30Z,44,52,low
2026-04-11T03:00Z,45,45,low
2026-04-11T03:30Z,46,46,low
2026-04-11T04:00Z,45,45,low
2026-04-11T04:30Z,45,50,low
2026-04-11T05:00Z,47,51,low
2026-04-11T05:30Z,48,51,low
2026-04-11T06:00Z,54,43,low
2026-04-11T06:30Z,55,42,low
2026-04-11T07:00Z,55,45,low
2026-04-11T07:30Z,53,46,low
2026-04-11T08:00Z,49,44,low
2026-04-11T08:30Z,46,41,low
2026-04-11T09:00Z,44,43,low
2026-04-11T09:30Z,40,37,low
2026-04-11T10:00Z,39,29,low
2026-04-11T10:30Z,38,26,low
2026-04-11T11:00Z,39,29,low
