JobID,submit_time,waitingtime_sec,start_time,end_time,runtime_sec,NodeList,node_id,MAXCPU,AllocCPUS,energy_j_job,energy_kwh_job,CI,carbon_g,carbon_kg,ipmi_energy_j,ipmi_energy_kwh,ipmi_carbon_g,ipmi_carbon_kg,ipmi_vs_slurm_energy_ratio
5286168,2026-04-09 09:56:00,7442.0,2026-04-09 12:00:02,2026-04-09 18:44:33,24271.0,cn117,117,96,8,1185833.3333333333,0.3293981481481481,63,249.025,0.249025,5573344.9415384615,1.5481513726495726,97.53353647692308,0.09753353647692307,4.699939515000811
5286169,2026-04-09 09:56:01,7447.0,2026-04-09 12:00:08,2026-04-09 16:03:55,14627.0,cn314,314,256,8,558437.5,0.15512152777777777,63,312.72499999999997,0.312725,3934614.9674603175,1.0929486020723105,68.85576193055556,0.06885576193055556,7.045757076593741
5286170,2026-04-09 09:56:02,7464.0,2026-04-09 12:00:26,2026-04-09 15:47:50,13644.0,cn305,305,256,8,524062.5,0.14557291666666666,63,293.47499999999997,0.293475,2774607.210750361,0.7707242252084336,48.55562618813132,0.04855562618813132,5.294420437925555
5286171,2026-04-09 09:56:03,7469.0,2026-04-09 12:00:32,2026-04-09 20:20:04,29972.0,cn009,009,96,8,1471666.6666666665,0.40879629629629627,63,309.05,0.30905,8599821.0,2.3888391666666666,150.4968675,0.15049686750000002,5.843592978482447
5286172,2026-04-09 09:56:04,7470.0,2026-04-09 12:00:34,2026-04-09 12:04:03,209.0,cn306,306,256,8,7800.3125,0.0021667534722222223,63,4.368175,0.004368175,110694.66666666667,0.03074851851851852,1.9371566666666666,0.0019371566666666667,14.191055379725706
5286174,2026-04-09 09:59:23,7280.0,2026-04-09 12:00:43,2026-04-09 18:48:12,24449.0,cn033,033,96,8,1174166.6666666665,0.32615740740740734,63,246.575,0.246575,5229648.225490196,1.4526800626361656,91.51884394607843,0.09151884394607844,4.453923258047009
5286175,2026-04-09 09:59:24,7282.0,2026-04-09 12:00:46,2026-04-09 16:24:07,15801.0,cn303,303,256,8,577500.0,0.16041666666666668,63,323.40000000000003,0.3234,1935172.6445138196,0.5375479568093944,33.86552127899185,0.033865521278991846,3.3509483021884323
5286176,2026-04-09 09:59:26,7285.0,2026-04-09 12:00:51,2026-04-09 16:50:18,17367.0,cn312,312,256,8,615312.5,0.17092013888888888,63,344.575,0.34457499999999996,2661367.1047924296,0.7392686402201193,46.57392433386752,0.04657392433386752,4.32522840799176
5286177,2026-04-09 09:59:27,7291.0,2026-04-09 12:00:58,2026-04-09 16:28:20,16042.0,cn304,304,256,8,622500.0,0.17291666666666666,63,348.59999999999997,0.34859999999999997,2959452.4552475302,0.8220701264576473,51.79041796683178,0.05179041796683178,4.754140490357479
5286178,2026-04-09 09:59:28,7293.0,2026-04-09 12:01:01,2026-04-09 19:28:54,26873.0,cn090,090,96,8,1339999.9999999998,0.3722222222222222,63,281.4,0.2814,6553908.41025641,1.820530113960114,114.69339717948718,0.11469339717948718,4.890976425564486
5286179,2026-04-09 09:59:29,7300.0,2026-04-09 12:01:09,2026-04-09 15:37:52,13003.0,cn306,306,256,8,493750.0,0.1371527777777778,63,276.5,0.2765,1754421.6603757353,0.4873393501043709,30.702379056575367,0.030702379056575368,3.553259058988831
5286180,2026-04-09 09:59:36,7305.0,2026-04-09 12:01:21,2026-04-09 16:20:53,15572.0,cn311,311,256,8,589375.0,0.16371527777777778,63,330.05,0.33005,5622215.7,1.5617265833333334,98.38877475,0.09838877474999999,9.53928432661718
5286181,2026-04-09 09:59:37,7305.0,2026-04-09 12:01:22,2026-04-09 19:01:10,25188.0,cn018,018,96,8,1209166.6666666665,0.3358796296296296,63,253.925,0.253925,3940183.8404804138,1.0944955112445593,68.95321720840724,0.06895321720840723,3.2585944924717416
5286182,2026-04-09 09:59:39,7331.0,2026-04-09 12:01:50,2026-04-09 14:57:17,10527.0,cn303,303,256,8,374687.5,0.10407986111111112,63,209.82500000000002,0.209825,1201219.9047369298,0.3336721957602583,21.021348332896274,0.021021348332896275,3.205924683201147
5286183,2026-04-09 09:59:40,7334.0,2026-04-09 12:01:54,2026-04-09 14:33:21,9087.0,cn321,321,256,8,350625.0,0.09739583333333333,63,196.35,0.19635,1770431.5713980463,0.49178654761056845,30.98255249946581,0.030982552499465812,5.049359205413323
5286184,2026-04-09 09:59:41,7346.0,2026-04-09 12:02:07,2026-04-09 12:05:37,210.0,cn303,303,256,8,8180.312499999999,0.0022723090277777776,63,4.580975,0.004580974999999999,62042.45,0.01723401388888889,1.085742875,0.001085742875,7.584361844367193
5286185,2026-04-09 09:59:42,7349.0,2026-04-09 12:02:11,2026-04-09 14:30:40,8909.0,cn319,319,256,8,343750.0,0.0954861111111111,63,192.5,0.1925,1680821.9628843379,0.46689498969009385,29.414384350475913,0.029414384350475914,4.889663892027165
5286186,2026-04-09 09:59:43,7356.0,2026-04-09 12:02:19,2026-04-09 14:31:50,8971.0,cn309,309,256,8,323125.0,0.08975694444444444,63,180.95,0.18095,1600404.6063131313,0.4445568350869809,28.007080610479797,0.028007080610479795,4.952896267119942
5286187,2026-04-09 09:59:45,7358.0,2026-04-09 12:02:23,2026-04-09 15:10:47,11304.0,cn303,303,256,8,405000.0,0.1125,63,226.8,0.2268,1275546.1267649017,0.354318368545806,22.32205721838578,0.02232205721838578,3.1494966092960537
5286188,2026-04-09 09:59:46,7360.0,2026-04-09 12:02:26,2026-04-09 14:48:51,9985.0,cn315,315,256,8,385312.5,0.10703125,63,215.77499999999998,0.21577499999999997,2864554.120912421,0.795709478031228,50.12969711596737,0.05012969711596737,7.434365926131182
5286189,2026-04-09 09:59:47,7371.0,2026-04-09 12:02:38,2026-04-09 14:55:14,10356.0,cn306,306,256,8,392812.5,0.10911458333333333,63,219.975,0.219975,1468453.207079032,0.40790366863306443,25.69793112388306,0.02569793112388306,3.738305698212333
5286190,2026-04-09 09:59:49,7372.0,2026-04-09 12:02:41,2026-04-09 17:57:17,21276.0,cn501,501,96,8,815833.3333333333,0.22662037037037036,63,171.32500000000002,0.171325,4930454.666666667,1.369570740740741,86.28295666666668,0.08628295666666667,6.043458222676201
5286191,2026-04-09 09:59:50,7376.0,2026-04-09 12:02:46,2026-04-09 16:08:20,14734.0,cn073,073,96,8,737500.0,0.2048611111111111,63,154.875,0.154875,3469541.712745098,0.9637615868736383,60.716979973039216,0.060716979973039216,4.704463339315387
5286192,2026-04-09 09:59:51,7388.0,2026-04-09 12:02:59,2026-04-09 18:05:58,21779.0,cn023,023,96,8,1046666.6666666666,0.29074074074074074,63,219.8,0.21980000000000002,3967692.398373984,1.1021367773261066,69.43461697154471,0.06943461697154471,3.7907889156439336
5286193,2026-04-09 09:59:53,7394.0,2026-04-09 12:03:07,2026-04-09 17:10:38,18451.0,cn080,080,96,8,896666.6666666666,0.24907407407407406,63,188.3,0.18830000000000002,6732053.277777778,1.870014799382716,117.81093236111111,0.11781093236111112,7.50786610904585
5286194,2026-04-09 09:59:54,7394.0,2026-04-09 12:03:08,2026-04-09 15:04:31,10883.0,cn320,320,256,8,388750.0,0.10798611111111112,63,217.70000000000002,0.2177,1272194.057337597,0.3533872381493325,22.263396003407948,0.02226339600340795,3.2725249063346546
5286195,2026-04-09 09:59:55,7394.0,2026-04-09 12:03:09,2026-04-09 15:21:37,11908.0,cn320,320,256,8,428125.0,0.1189236111111111,63,239.75,0.23975,1368978.8155793552,0.3802718932164876,23.957129272638717,0.023957129272638718,3.197614751718202
