JobID,start_time,end_time,runtime_sec,NodeList,energy_kwh
5287872,2026-04-09 13:07:46,2026-04-09 13:07:48,2.0,cn294,0.0002686111111111111
5287874,2026-04-09 13:07:48,2026-04-09 13:07:49,1.0,cn003,0.00017333333333333334
5288147,2026-04-09 13:46:53,2026-04-09 13:46:56,3.0,cn297,0.00026944444444444444
5288150,2026-04-09 13:46:53,2026-04-09 13:46:55,2.0,cn021,0.00016
5288245,2026-04-09 14:05:02,2026-04-09 14:05:03,1.0,cn296,0.00013472222222222222
5288651,2026-04-09 14:46:55,2026-04-09 14:46:56,1.0,cn052,0.00016
5290330,2026-04-09 15:47:11,2026-04-09 15:47:13,2.0,cn298,0.00015416666666666666
5290335,2026-04-09 15:47:13,2026-04-09 15:47:15,2.0,cn298,0.00019583333333333334
5290354,2026-04-09 15:47:16,2026-04-09 15:47:18,2.0,cn298,0.00020611111111111112
5290355,2026-04-09 15:47:18,2026-04-09 15:47:20,2.0,cn298,0.00017777777777777779
5290356,2026-04-09 15:47:20,2026-04-09 15:47:22,2.0,cn298,0.00017361111111111112
5291516,2026-04-09 16:46:52,2026-04-09 16:46:53,1.0,cn021,0.00016
5291519,2026-04-09 16:46:53,2026-04-09 16:46:54,1.0,cn021,0.00016
5291521,2026-04-09 16:46:54,2026-04-09 16:46:56,2.0,cn021,0.00016
5291679,2026-04-09 17:10:50,2026-04-09 17:10:53,3.0,cn295,0.0002597222222222222
5291683,2026-04-09 17:07:36,2026-04-09 17:07:37,1.0,cn059,0.00016666666666666666
5291903,2026-04-09 17:46:53,2026-04-09 17:46:55,2.0,cn298,0.0002708333333333333
5291904,2026-04-09 17:46:56,2026-04-09 17:46:58,2.0,cn298,0.00019277777777777777
5291906,2026-04-09 17:46:58,2026-04-09 17:47:00,2.0,cn298,0.00017361111111111112
5291907,2026-04-09 17:47:00,2026-04-09 17:47:03,3.0,cn298,0.00019027777777777776
5291909,2026-04-09 17:47:03,2026-04-09 17:47:05,2.0,cn298,0.00019166666666666667
5291910,2026-04-09 17:47:05,2026-04-09 17:47:07,2.0,cn298,0.0002
5292002,2026-04-09 18:07:33,2026-04-09 18:07:35,2.0,cn544,0.00026388888888888886
5292470,2026-04-09 19:10:41,2026-04-09 19:10:43,2.0,cn297,0.00026944444444444444
5292753,2026-04-09 19:46:55,2026-04-09 19:46:58,3.0,cn297,0.00026944444444444444
5292754,2026-04-09 19:46:57,2026-04-09 19:46:59,2.0,cn503,0.0002575
5292891,2026-04-09 20:08:51,2026-04-09 20:08:53,2.0,cn297,0.0002666666666666667
5293172,2026-04-09 20:46:51,2026-04-09 20:46:53,2.0,cn539,0.0002611111111111111
5293175,2026-04-09 20:46:53,2026-04-09 20:46:54,1.0,cn033,0.00016
5293177,2026-04-09 20:49:16,2026-04-09 20:49:18,2.0,cn297,0.0002686111111111111
