Timestamp,ShriffPanelBoard30Minutes(kW-hr),ShriffMR130Minutes(kW-hr),ShriffMR230Minutes(kW-hr),ShriffMR330Minutes(kW-hr)
01-Apr-26 12:30:00 AM BST,14.2,2.6,10.1,12.6
01-Apr-26 1:00:00 AM BST,3.7,1.6,6.4,7.9
01-Apr-26 1:30:00 AM BST,8.6,1.6,6.3,7.8
01-Apr-26 2:00:00 AM BST,8.2,1.6,6.4,8.0
01-Apr-26 2:30:00 AM BST,1.3,1.6,6.4,8.1
01-Apr-26 3:00:00 AM BST,7.4,1.6,6.3,7.7
01-Apr-26 3:30:00 AM BST,7.5,1.6,6.2,8.0
01-Apr-26 4:00:00 AM BST,4.9,1.6,6.2,7.8
01-Apr-26 4:30:00 AM BST,3.5,1.6,6.1,7.5
01-Apr-26 5:00:00 AM BST,7.3,1.6,6.1,7.7
01-Apr-26 5:30:00 AM BST,5.0,1.6,6.1,7.7
01-Apr-26 6:00:00 AM BST,2.8,1.6,6.1,7.6
01-Apr-26 6:30:00 AM BST,7.3,1.6,6.1,7.6
01-Apr-26 7:00:00 AM BST,7.3,1.6,6.1,7.7
01-Apr-26 7:30:00 AM BST,0.9,1.6,6.1,7.8
01-Apr-26 8:00:00 AM BST,6.7,1.6,6.1,7.5
01-Apr-26 8:30:00 AM BST,7.4,1.7,2.3,7.4
01-Apr-26 9:00:00 AM BST,0.2,1.7,6.1,7.0
01-Apr-26 9:30:00 AM BST,6.9,1.9,6.1,7.0
01-Apr-26 10:00:00 AM BST,7.1,6.1,6.3,7.0
01-Apr-26 10:30:00 AM BST,3.0,6.6,6.2,7.0
01-Apr-26 11:00:00 AM BST,12.5,8.1,8.1,7.1
01-Apr-26 11:30:00 AM BST,2.9,9.8,9.3,7.0
01-Apr-26 12:00:00 PM BST,17.0,15.8,10.0,7.0
01-Apr-26 12:30:00 PM BST,5.5,15.0,10.6,7.1
01-Apr-26 1:00:00 PM BST,19.6,15.0,10.8,7.2
01-Apr-26 1:30:00 PM BST,15.1,15.1,16.5,3.7
01-Apr-26 2:00:00 PM BST,23.8,15.2,21.1,0.0
01-Apr-26 2:30:00 PM BST,15.9,15.9,21.8,0.0
01-Apr-26 3:00:00 PM BST,17.7,16.5,21.9,0.0
01-Apr-26 3:30:00 PM BST,20.7,21.0,21.9,0.0
01-Apr-26 4:00:00 PM BST,20.7,30.2,23.4,0.0
01-Apr-26 4:30:00 PM BST,27.1,33.1,23.2,0.0
01-Apr-26 5:00:00 PM BST,37.7,33.9,23.3,0.0
01-Apr-26 5:30:00 PM BST,29.7,34.1,23.5,0.0
01-Apr-26 6:00:00 PM BST,30.3,34.5,23.4,0.0
01-Apr-26 6:30:00 PM BST,30.1,34.9,23.4,0.0
01-Apr-26 7:00:00 PM BST,29.9,34.9,23.3,0.0
01-Apr-26 7:30:00 PM BST,29.8,34.8,23.4,0.0
01-Apr-26 8:00:00 PM BST,30.4,35.0,23.5,0.0
01-Apr-26 8:30:00 PM BST,30.5,35.1,23.4,0.0
01-Apr-26 9:00:00 PM BST,30.2,35.3,23.7,0.0
01-Apr-26 9:30:00 PM BST,29.9,34.5,23.8,0.0
01-Apr-26 10:00:00 PM BST,29.6,32.1,22.3,0.0
01-Apr-26 10:30:00 PM BST,28.7,30.6,20.8,0.0
01-Apr-26 11:00:00 PM BST,27.8,30.5,20.5,0.0
01-Apr-26 11:30:00 PM BST,24.2,,20.6,
02-Apr-26 12:00:00 AM BST,22.1,31.0,,0.0
02-Apr-26 12:30:00 AM BST,36.5,54.3,34.8,0.0
02-Apr-26 1:00:00 AM BST,22.8,34.1,21.7,0.0
02-Apr-26 1:30:00 AM BST,22.2,33.2,21.0,0.0
02-Apr-26 2:00:00 AM BST,21.8,33.6,21.1,0.0
02-Apr-26 2:30:00 AM BST,21.9,33.7,21.2,0.0
02-Apr-26 3:00:00 AM BST,21.5,33.0,21.0,0.0
02-Apr-26 3:30:00 AM BST,21.0,32.6,21.1,0.0
02-Apr-26 4:00:00 AM BST,20.5,32.0,21.3,0.0
02-Apr-26 4:30:00 AM BST,20.4,31.6,21.4,0.0
02-Apr-26 5:00:00 AM BST,19.2,31.5,21.3,0.0
02-Apr-26 5:30:00 AM BST,18.8,32.2,21.2,0.0
02-Apr-26 6:00:00 AM BST,18.4,31.8,21.1,0.0
02-Apr-26 6:30:00 AM BST,17.7,31.5,20.8,0.0
02-Apr-26 7:00:00 AM BST,17.1,31.3,20.6,0.0
02-Apr-26 7:30:00 AM BST,16.7,31.8,20.6,0.0
02-Apr-26 8:00:00 AM BST,16.6,33.6,20.6,0.0
02-Apr-26 8:30:00 AM BST,18.6,34.8,20.9,0.0
02-Apr-26 9:00:00 AM BST,21.3,34.8,21.2,0.0
02-Apr-26 9:30:00 AM BST,22.9,34.1,21.4,0.0
02-Apr-26 10:00:00 AM BST,27.1,33.7,21.1,0.0
02-Apr-26 10:30:00 AM BST,28.6,33.6,21.0,0.0
02-Apr-26 11:00:00 AM BST,28.4,33.1,19.0,3.3
02-Apr-26 11:30:00 AM BST,27.4,32.0,12.4,10.7
02-Apr-26 12:00:00 PM BST,31.3,37.3,17.0,13.9
02-Apr-26 12:30:00 PM BST,44.4,42.1,17.6,14.6
02-Apr-26 1:00:00 PM BST,46.7,43.9,18.4,17.1
02-Apr-26 1:30:00 PM BST,36.9,44.8,18.3,18.7
02-Apr-26 2:00:00 PM BST,41.6,46.5,18.5,19.8
02-Apr-26 2:30:00 PM BST,47.2,49.2,19.1,21.2
02-Apr-26 3:00:00 PM BST,51.2,50.1,19.2,21.9
02-Apr-26 3:30:00 PM BST,45.5,49.4,18.9,21.3
02-Apr-26 4:00:00 PM BST,43.6,50.5,19.3,21.7
02-Apr-26 4:30:00 PM BST,43.0,50.5,19.2,21.8
02-Apr-26 5:00:00 PM BST,48.5,50.6,19.2,22.3
02-Apr-26 5:30:00 PM BST,49.7,50.9,19.4,22.6
02-Apr-26 6:00:00 PM BST,50.8,51.0,19.6,22.7
02-Apr-26 6:30:00 PM BST,45.3,51.0,19.6,22.7
02-Apr-26 7:00:00 PM BST,42.6,50.9,19.5,22.7
02-Apr-26 7:30:00 PM BST,45.0,50.2,19.4,22.6
02-Apr-26 8:00:00 PM BST,48.7,50.4,19.4,22.7
02-Apr-26 8:30:00 PM BST,50.0,51.0,19.5,22.7
02-Apr-26 9:00:00 PM BST,50.8,51.7,19.9,22.8
02-Apr-26 9:30:00 PM BST,45.8,51.9,20.0,22.8
02-Apr-26 10:00:00 PM BST,45.3,52.0,19.9,22.8
02-Apr-26 10:30:00 PM BST,44.1,51.9,19.9,22.7
02-Apr-26 11:00:00 PM BST,48.0,51.9,19.8,22.8
02-Apr-26 11:30:00 PM BST,50.4,51.9,19.7,22.8
03-Apr-26 12:00:00 AM BST,50.6,52.1,19.8,22.8
03-Apr-26 12:30:00 AM BST,47.8,53.1,20.2,22.9
03-Apr-26 1:00:00 AM BST,45.3,52.1,19.8,22.9
03-Apr-26 1:30:00 AM BST,46.1,51.8,19.4,22.7
03-Apr-26 2:00:00 AM BST,50.6,51.9,19.6,22.7
03-Apr-26 2:30:00 AM BST,53.3,52.2,19.7,22.7
03-Apr-26 3:00:00 AM BST,47.0,52.5,19.9,22.8
03-Apr-26 3:30:00 AM BST,45.2,52.6,19.6,22.9
03-Apr-26 4:00:00 AM BST,47.4,52.4,19.5,22.8
03-Apr-26 4:30:00 AM BST,52.1,52.3,19.6,22.9
03-Apr-26 5:00:00 AM BST,52.3,52.8,19.8,22.9
03-Apr-26 5:30:00 AM BST,47.9,53.0,19.8,22.9
03-Apr-26 6:00:00 AM BST,45.4,52.9,19.8,22.9
03-Apr-26 6:30:00 AM BST,46.4,52.6,19.7,22.9
03-Apr-26 7:00:00 AM BST,51.4,52.8,19.8,22.9
03-Apr-26 7:30:00 AM BST,53.9,52.7,19.8,22.9
03-Apr-26 8:00:00 AM BST,46.9,52.9,19.9,22.9
03-Apr-26 8:30:00 AM BST,45.8,52.8,19.6,22.9
03-Apr-26 9:00:00 AM BST,46.2,52.7,19.6,22.9
03-Apr-26 9:30:00 AM BST,51.0,52.3,19.6,22.9
03-Apr-26 10:00:00 AM BST,51.7,52.6,19.7,22.9
03-Apr-26 10:30:00 AM BST,51.8,52.9,19.9,22.9
03-Apr-26 11:00:00 AM BST,46.0,53.1,19.9,23.0
03-Apr-26 11:30:00 AM BST,45.5,52.8,19.7,22.9
03-Apr-26 12:00:00 PM BST,48.8,52.6,19.7,23.0
03-Apr-26 12:30:00 PM BST,51.7,52.7,19.7,22.9
03-Apr-26 1:00:00 PM BST,51.8,52.8,19.9,22.9
03-Apr-26 1:30:00 PM BST,48.2,53.1,20.1,23.0
03-Apr-26 2:00:00 PM BST,45.4,53.0,19.9,23.0
03-Apr-26 2:30:00 PM BST,47.9,52.7,19.6,23.0
03-Apr-26 3:00:00 PM BST,52.0,52.8,19.6,23.0
03-Apr-26 3:30:00 PM BST,53.3,52.4,20.0,23.0
03-Apr-26 4:00:00 PM BST,47.9,53.4,20.5,23.0
03-Apr-26 4:30:00 PM BST,46.6,53.3,20.4,22.9
03-Apr-26 5:00:00 PM BST,45.9,52.9,20.2,22.9
03-Apr-26 5:30:00 PM BST,51.1,52.7,20.1,22.9
03-Apr-26 6:00:00 PM BST,52.0,52.8,20.2,22.9
03-Apr-26 6:30:00 PM BST,52.9,53.3,20.5,22.9
03-Apr-26 7:00:00 PM BST,46.8,53.1,20.4,23.0
03-Apr-26 7:30:00 PM BST,46.3,52.6,20.4,22.9
03-Apr-26 8:00:00 PM BST,47.0,52.7,20.1,22.8
03-Apr-26 8:30:00 PM BST,51.2,53.1,20.1,22.4
03-Apr-26 9:00:00 PM BST,52.9,53.0,20.2,22.4
03-Apr-26 9:30:00 PM BST,49.6,53.3,20.4,22.2
03-Apr-26 10:00:00 PM BST,46.8,53.2,20.4,22.2
03-Apr-26 10:30:00 PM BST,45.8,53.1,20.6,22.4
03-Apr-26 11:00:00 PM BST,48.5,53.1,20.3,22.9
03-Apr-26 11:30:00 PM BST,51.5,52.5,20.1,22.8
04-Apr-26 12:00:00 AM BST,52.3,52.4,20.3,23.0
04-Apr-26 12:30:00 AM BST,48.9,52.7,20.4,23.2
04-Apr-26 1:00:00 AM BST,46.1,52.1,20.1,23.2
04-Apr-26 1:30:00 AM BST,44.6,51.7,20.1,23.2
04-Apr-26 2:00:00 AM BST,51.3,51.9,19.9,23.2
04-Apr-26 2:30:00 AM BST,53.8,52.4,20.2,23.1
04-Apr-26 3:00:00 AM BST,48.2,51.9,19.9,23.0
04-Apr-26 3:30:00 AM BST,45.9,51.9,19.9,22.8
04-Apr-26 4:00:00 AM BST,45.2,51.3,19.4,22.7
04-Apr-26 4:30:00 AM BST,50.0,50.2,19.5,22.4
04-Apr-26 5:00:00 AM BST,50.8,50.5,19.8,22.5
04-Apr-26 5:30:00 AM BST,46.1,49.6,19.7,22.7
04-Apr-26 6:00:00 AM BST,46.9,52.8,19.3,22.6
04-Apr-26 6:30:00 AM BST,43.9,51.2,19.2,22.6
04-Apr-26 7:00:00 AM BST,49.3,51.2,19.1,22.6
04-Apr-26 7:30:00 AM BST,51.0,51.4,19.3,22.6
04-Apr-26 8:00:00 AM BST,50.4,51.6,19.4,22.6
04-Apr-26 8:30:00 AM BST,45.3,51.3,19.2,22.6
04-Apr-26 9:00:00 AM BST,43.2,51.2,19.1,22.7
04-Apr-26 9:30:00 AM BST,48.0,51.5,19.3,22.7
04-Apr-26 10:00:00 AM BST,50.0,51.5,19.2,22.7
04-Apr-26 10:30:00 AM BST,51.8,51.7,19.2,22.6
