Timestamp,ShriffPanelBoard30Minutes(kW-hr),ShriffMR130Minutes(kW-hr),ShriffMR230Minutes(kW-hr),ShriffMR330Minutes(kW-hr)
01-Feb-26 12:30:00 AM GMT,17.1,35.9,15.6,20.0
01-Feb-26 1:00:00 AM GMT,18.1,36.0,15.7,20.1
01-Feb-26 1:30:00 AM GMT,18.4,36.3,15.8,20.3
01-Feb-26 2:00:00 AM GMT,18.6,36.4,15.9,20.3
01-Feb-26 2:30:00 AM GMT,18.3,36.4,15.9,20.3
01-Feb-26 3:00:00 AM GMT,18.1,36.5,15.8,20.3
01-Feb-26 3:30:00 AM GMT,18.1,36.6,15.9,20.4
01-Feb-26 4:00:00 AM GMT,18.2,36.7,16.1,20.4
01-Feb-26 4:30:00 AM GMT,18.1,36.7,16.0,20.4
01-Feb-26 5:00:00 AM GMT,18.3,36.8,16.1,20.4
01-Feb-26 5:30:00 AM GMT,18.3,36.7,16.2,20.3
01-Feb-26 6:00:00 AM GMT,18.2,36.8,16.1,20.3
01-Feb-26 6:30:00 AM GMT,18.2,36.8,16.1,20.4
01-Feb-26 7:00:00 AM GMT,18.2,36.8,16.2,20.4
01-Feb-26 7:30:00 AM GMT,18.1,36.5,16.1,20.3
01-Feb-26 8:00:00 AM GMT,18.0,36.3,16.0,20.2
01-Feb-26 8:30:00 AM GMT,18.5,36.2,15.9,20.1
01-Feb-26 9:00:00 AM GMT,19.1,36.1,16.0,20.2
01-Feb-26 9:30:00 AM GMT,19.5,36.0,16.0,20.1
01-Feb-26 10:00:00 AM GMT,19.5,35.8,15.8,20.2
01-Feb-26 10:30:00 AM GMT,19.8,35.9,15.9,20.1
01-Feb-26 11:00:00 AM GMT,18.9,36.0,15.8,20.2
01-Feb-26 11:30:00 AM GMT,19.3,36.2,15.9,20.3
01-Feb-26 12:00:00 PM GMT,19.4,36.4,16.1,20.3
01-Feb-26 12:30:00 PM GMT,19.7,36.4,15.9,20.3
01-Feb-26 1:00:00 PM GMT,20.2,36.4,15.9,20.3
01-Feb-26 1:30:00 PM GMT,18.9,36.4,16.0,20.2
01-Feb-26 2:00:00 PM GMT,17.5,36.2,15.8,20.3
01-Feb-26 2:30:00 PM GMT,17.1,36.1,15.9,20.3
01-Feb-26 3:00:00 PM GMT,17.3,36.0,16.0,20.4
