Timestamp,ShriffPanelBoard30Minutes(kW-hr),ShriffMR130Minutes(kW-hr),ShriffMR230Minutes(kW-hr),ShriffMR330Minutes(kW-hr)
01-Jul-26 12:30:00 AM BST,30.2,34.6,13.8,15.1
01-Jul-26 1:00:00 AM BST,30.2,34.4,14.1,15.2
01-Jul-26 1:30:00 AM BST,30.2,34.1,14.2,15.1
01-Jul-26 2:00:00 AM BST,28.2,33.9,14.0,15.0
01-Jul-26 2:30:00 AM BST,29.6,33.6,13.6,14.9
01-Jul-26 3:00:00 AM BST,29.8,34.3,14.0,15.0
01-Jul-26 3:30:00 AM BST,30.2,35.0,14.3,14.9
01-Jul-26 4:00:00 AM BST,30.3,34.9,14.4,14.9
01-Jul-26 4:30:00 AM BST,29.7,34.2,14.1,14.8
01-Jul-26 5:00:00 AM BST,29.7,33.8,14.0,14.8
01-Jul-26 5:30:00 AM BST,29.5,33.8,13.9,14.7
01-Jul-26 6:00:00 AM BST,29.6,33.8,14.0,14.7
01-Jul-26 6:30:00 AM BST,29.5,33.9,14.0,14.4
01-Jul-26 7:00:00 AM BST,29.3,33.6,14.0,14.4
01-Jul-26 7:30:00 AM BST,29.0,32.8,13.9,14.4
01-Jul-26 8:00:00 AM BST,28.0,32.8,13.9,14.3
01-Jul-26 8:30:00 AM BST,27.2,31.9,13.9,14.2
01-Jul-26 9:00:00 AM BST,26.8,31.9,13.9,14.0
01-Jul-26 9:30:00 AM BST,27.0,33.1,14.0,14.0
01-Jul-26 10:00:00 AM BST,26.9,32.6,14.0,14.1
01-Jul-26 10:30:00 AM BST,27.2,32.9,14.1,14.3
01-Jul-26 11:00:00 AM BST,27.3,33.6,14.1,14.4
01-Jul-26 11:30:00 AM BST,27.8,34.0,13.7,14.5
01-Jul-26 12:00:00 PM BST,27.6,34.1,13.9,14.7
01-Jul-26 12:30:00 PM BST,28.0,33.8,14.1,14.7
01-Jul-26 1:00:00 PM BST,27.7,33.9,14.0,14.8
01-Jul-26 1:30:00 PM BST,27.9,34.4,13.8,14.9
01-Jul-26 2:00:00 PM BST,28.1,34.7,13.9,15.1
01-Jul-26 2:30:00 PM BST,28.3,34.8,13.9,15.2
01-Jul-26 3:00:00 PM BST,28.5,35.0,14.1,15.2
01-Jul-26 3:30:00 PM BST,28.6,35.1,14.2,15.2
01-Jul-26 4:00:00 PM BST,28.5,35.1,14.0,15.2
01-Jul-26 4:30:00 PM BST,28.7,35.2,13.8,15.2
01-Jul-26 5:00:00 PM BST,28.3,35.0,13.7,15.1
01-Jul-26 5:30:00 PM BST,28.6,35.0,13.7,15.1
01-Jul-26 6:00:00 PM BST,28.5,35.1,13.6,15.2
01-Jul-26 6:30:00 PM BST,28.6,35.4,13.6,15.2
01-Jul-26 7:00:00 PM BST,28.7,35.0,13.7,15.1
01-Jul-26 7:30:00 PM BST,28.3,34.5,13.8,15.0
01-Jul-26 8:00:00 PM BST,27.5,33.4,13.8,14.7
01-Jul-26 8:30:00 PM BST,26.9,32.2,13.1,14.6
01-Jul-26 9:00:00 PM BST,26.8,31.8,13.3,14.6
01-Jul-26 9:30:00 PM BST,27.5,33.5,13.6,14.6
01-Jul-26 10:00:00 PM BST,28.0,34.0,13.8,14.6
01-Jul-26 10:30:00 PM BST,28.1,34.3,14.1,14.7
01-Jul-26 11:00:00 PM BST,28.2,34.9,14.1,14.6
01-Jul-26 11:30:00 PM BST,28.4,35.2,13.9,14.4
02-Jul-26 12:00:00 AM BST,28.1,34.1,13.9,14.3
02-Jul-26 12:30:00 AM BST,28.0,34.1,14.1,14.6
02-Jul-26 1:00:00 AM BST,28.4,35.1,14.0,14.8
02-Jul-26 1:30:00 AM BST,28.4,35.4,13.7,14.7
02-Jul-26 2:00:00 AM BST,27.3,35.3,13.8,14.6
02-Jul-26 2:30:00 AM BST,28.2,34.9,13.9,14.5
02-Jul-26 3:00:00 AM BST,27.9,34.6,14.0,14.5
02-Jul-26 3:30:00 AM BST,28.1,34.0,13.8,14.4
02-Jul-26 4:00:00 AM BST,26.8,31.6,13.4,14.1
02-Jul-26 4:30:00 AM BST,26.2,30.1,13.1,14.0
02-Jul-26 5:00:00 AM BST,25.0,28.6,12.9,13.7
02-Jul-26 5:30:00 AM BST,24.7,28.4,12.8,13.3
02-Jul-26 6:00:00 AM BST,24.4,28.7,12.6,13.2
02-Jul-26 6:30:00 AM BST,24.2,28.5,12.7,13.2
02-Jul-26 7:00:00 AM BST,24.7,28.1,12.7,13.2
02-Jul-26 7:30:00 AM BST,24.3,28.0,12.7,13.1
02-Jul-26 8:00:00 AM BST,23.9,28.3,12.8,13.1
