Timestamp,ShriffPanelBoard30Minutes(kW-hr),ShriffMR130Minutes(kW-hr),ShriffMR230Minutes(kW-hr),ShriffMR330Minutes(kW-hr)
01-Mar-26 12:30:00 AM GMT,25.7,58.2,16.3,20.6
01-Mar-26 1:00:00 AM GMT,25.8,58.8,16.4,20.7
01-Mar-26 1:30:00 AM GMT,25.9,58.7,16.4,20.7
01-Mar-26 2:00:00 AM GMT,25.8,58.9,16.4,20.6
01-Mar-26 2:30:00 AM GMT,25.4,59.3,16.4,20.7
01-Mar-26 3:00:00 AM GMT,25.2,59.4,16.4,20.9
01-Mar-26 3:30:00 AM GMT,25.3,59.0,16.4,20.8
01-Mar-26 4:00:00 AM GMT,25.3,59.3,16.4,20.7
01-Mar-26 4:30:00 AM GMT,25.2,58.9,16.4,20.6
01-Mar-26 5:00:00 AM GMT,25.1,58.9,16.4,20.6
01-Mar-26 5:30:00 AM GMT,25.2,59.0,16.4,20.5
01-Mar-26 6:00:00 AM GMT,25.1,58.9,16.4,20.6
01-Mar-26 6:30:00 AM GMT,25.0,58.8,16.5,20.7
01-Mar-26 7:00:00 AM GMT,24.9,59.3,16.5,20.7
01-Mar-26 7:30:00 AM GMT,24.8,59.0,16.5,20.7
01-Mar-26 8:00:00 AM GMT,25.3,59.2,16.5,20.8
01-Mar-26 8:30:00 AM GMT,26.3,59.6,16.5,20.8
01-Mar-26 9:00:00 AM GMT,27.0,59.5,16.5,20.7
01-Mar-26 9:30:00 AM GMT,28.1,59.4,16.5,20.7
01-Mar-26 10:00:00 AM GMT,29.2,59.3,16.5,20.6
01-Mar-26 10:30:00 AM GMT,29.1,58.8,16.4,20.6
01-Mar-26 11:00:00 AM GMT,29.3,59.1,16.3,20.6
01-Mar-26 11:30:00 AM GMT,29.5,59.0,16.3,20.5
01-Mar-26 12:00:00 PM GMT,30.0,59.3,16.4,20.5
01-Mar-26 12:30:00 PM GMT,30.9,58.8,16.3,20.4
01-Mar-26 1:00:00 PM GMT,30.8,58.4,16.3,20.4
01-Mar-26 1:30:00 PM GMT,30.6,58.1,16.3,20.2
01-Mar-26 2:00:00 PM GMT,31.2,58.2,16.3,20.3
01-Mar-26 2:30:00 PM GMT,31.2,58.3,16.2,20.3
01-Mar-26 3:00:00 PM GMT,31.8,58.0,16.3,20.5
01-Mar-26 3:30:00 PM GMT,32.3,57.9,16.3,20.5
01-Mar-26 4:00:00 PM GMT,32.5,57.7,16.3,20.4
01-Mar-26 4:30:00 PM GMT,32.3,57.5,16.2,20.3
01-Mar-26 5:00:00 PM GMT,31.9,57.1,16.3,20.3
01-Mar-26 5:30:00 PM GMT,30.9,57.0,16.3,20.3
01-Mar-26 6:00:00 PM GMT,30.1,57.4,16.2,20.3
01-Mar-26 6:30:00 PM GMT,30.9,57.8,16.3,20.2
01-Mar-26 7:00:00 PM GMT,30.2,58.1,16.3,20.2
01-Mar-26 7:30:00 PM GMT,29.4,58.1,16.2,20.2
01-Mar-26 8:00:00 PM GMT,28.6,58.1,16.3,20.2
01-Mar-26 8:30:00 PM GMT,28.3,58.1,16.2,20.2
01-Mar-26 9:00:00 PM GMT,28.5,58.2,16.1,20.2
01-Mar-26 9:30:00 PM GMT,27.9,58.2,16.2,20.3
01-Mar-26 10:00:00 PM GMT,28.3,58.2,16.3,20.3
01-Mar-26 10:30:00 PM GMT,27.8,58.3,16.4,20.4
01-Mar-26 11:00:00 PM GMT,28.3,58.6,16.4,20.4
01-Mar-26 11:30:00 PM GMT,27.9,58.4,16.3,20.4
02-Mar-26 12:00:00 AM GMT,27.9,58.7,16.3,20.5
02-Mar-26 12:30:00 AM GMT,27.4,58.9,16.4,20.5
02-Mar-26 1:00:00 AM GMT,26.8,58.6,16.3,20.2
02-Mar-26 1:30:00 AM GMT,26.5,58.3,16.1,20.2
02-Mar-26 2:00:00 AM GMT,26.3,58.6,16.2,20.2
02-Mar-26 2:30:00 AM GMT,25.8,58.6,16.2,20.2
02-Mar-26 3:00:00 AM GMT,25.8,58.7,16.3,20.2
02-Mar-26 3:30:00 AM GMT,25.7,59.1,16.3,20.3
02-Mar-26 4:00:00 AM GMT,25.8,59.3,16.3,20.3
02-Mar-26 4:30:00 AM GMT,25.5,59.1,16.3,20.3
02-Mar-26 5:00:00 AM GMT,25.6,59.2,16.2,20.2
02-Mar-26 5:30:00 AM GMT,25.5,59.2,16.2,20.1
02-Mar-26 6:00:00 AM GMT,25.3,58.9,16.2,20.1
02-Mar-26 6:30:00 AM GMT,25.2,58.7,16.1,20.1
02-Mar-26 7:00:00 AM GMT,25.3,59.0,16.1,20.1
02-Mar-26 7:30:00 AM GMT,24.8,58.5,16.2,20.1
02-Mar-26 8:00:00 AM GMT,25.0,58.4,16.1,20.1
02-Mar-26 8:30:00 AM GMT,26.0,58.5,16.1,20.0
02-Mar-26 9:00:00 AM GMT,26.3,58.4,16.2,20.0
02-Mar-26 9:30:00 AM GMT,26.8,58.7,16.2,20.1
02-Mar-26 10:00:00 AM GMT,27.7,58.8,16.3,20.1
02-Mar-26 10:30:00 AM GMT,29.5,58.8,18.4,20.2
02-Mar-26 11:00:00 AM GMT,31.1,58.9,20.1,20.3
02-Mar-26 11:30:00 AM GMT,31.9,58.5,20.1,20.3
02-Mar-26 12:00:00 PM GMT,33.0,58.7,20.0,20.3
02-Mar-26 12:30:00 PM GMT,35.2,59.0,19.9,20.2
02-Mar-26 1:00:00 PM GMT,39.1,58.9,19.9,20.0
02-Mar-26 1:30:00 PM GMT,40.3,58.8,19.9,20.0
02-Mar-26 2:00:00 PM GMT,40.5,58.8,19.9,20.0
02-Mar-26 2:30:00 PM GMT,40.4,58.6,19.9,20.0
02-Mar-26 3:00:00 PM GMT,40.6,58.4,20.0,20.1
02-Mar-26 3:30:00 PM GMT,40.8,58.3,20.0,20.2
02-Mar-26 4:00:00 PM GMT,41.0,58.9,20.1,20.3
02-Mar-26 4:30:00 PM GMT,41.4,59.0,20.1,20.4
02-Mar-26 5:00:00 PM GMT,41.8,58.7,20.1,20.3
02-Mar-26 5:30:00 PM GMT,41.6,58.7,20.2,20.5
02-Mar-26 6:00:00 PM GMT,41.0,59.2,20.2,20.6
02-Mar-26 6:30:00 PM GMT,41.4,59.2,20.2,20.7
02-Mar-26 7:00:00 PM GMT,46.4,58.4,20.1,20.6
02-Mar-26 7:30:00 PM GMT,39.4,57.8,19.7,20.7
02-Mar-26 8:00:00 PM GMT,36.5,57.4,19.2,20.5
02-Mar-26 8:30:00 PM GMT,35.2,57.7,19.2,20.5
02-Mar-26 9:00:00 PM GMT,33.8,57.6,19.3,20.6
02-Mar-26 9:30:00 PM GMT,32.5,57.5,19.2,20.6
02-Mar-26 10:00:00 PM GMT,31.4,57.4,19.2,20.5
02-Mar-26 10:30:00 PM GMT,31.4,57.5,19.2,20.6
02-Mar-26 11:00:00 PM GMT,31.0,57.6,19.3,20.6
02-Mar-26 11:30:00 PM GMT,30.9,57.6,19.3,20.5
03-Mar-26 12:00:00 AM GMT,30.6,57.7,19.3,20.8
03-Mar-26 12:30:00 AM GMT,30.6,58.0,19.4,20.8
03-Mar-26 1:00:00 AM GMT,31.3,57.6,19.3,20.8
03-Mar-26 1:30:00 AM GMT,30.8,57.4,19.1,20.7
03-Mar-26 2:00:00 AM GMT,31.0,57.6,19.0,20.6
03-Mar-26 2:30:00 AM GMT,30.4,57.6,19.1,20.7
03-Mar-26 3:00:00 AM GMT,30.2,57.5,18.9,20.6
03-Mar-26 3:30:00 AM GMT,30.3,57.4,19.0,20.7
03-Mar-26 4:00:00 AM GMT,30.2,57.3,18.9,20.7
03-Mar-26 4:30:00 AM GMT,29.8,57.6,19.0,20.7
03-Mar-26 5:00:00 AM GMT,29.6,57.8,18.9,20.5
03-Mar-26 5:30:00 AM GMT,29.7,57.2,18.8,20.3
03-Mar-26 6:00:00 AM GMT,29.5,56.8,18.8,20.3
03-Mar-26 6:30:00 AM GMT,29.3,57.0,18.8,20.3
03-Mar-26 7:00:00 AM GMT,29.8,57.4,18.9,20.3
03-Mar-26 7:30:00 AM GMT,29.0,57.4,18.8,20.3
03-Mar-26 8:00:00 AM GMT,29.7,57.6,18.9,20.3
03-Mar-26 8:30:00 AM GMT,30.4,57.8,18.9,20.5
03-Mar-26 9:00:00 AM GMT,30.9,57.7,18.9,20.5
03-Mar-26 9:30:00 AM GMT,32.4,57.7,18.9,20.5
03-Mar-26 10:00:00 AM GMT,34.4,58.0,18.9,20.4
03-Mar-26 10:30:00 AM GMT,36.4,57.9,19.0,20.4
03-Mar-26 11:00:00 AM GMT,37.1,57.7,18.9,20.4
03-Mar-26 11:30:00 AM GMT,36.5,58.3,19.7,20.4
03-Mar-26 12:00:00 PM GMT,45.3,57.3,19.0,20.5
03-Mar-26 12:30:00 PM GMT,44.8,57.9,19.6,20.6
03-Mar-26 1:00:00 PM GMT,50.7,57.5,18.9,20.6
03-Mar-26 1:30:00 PM GMT,32.8,59.5,20.2,20.7
03-Mar-26 2:00:00 PM GMT,40.5,59.8,20.3,21.0
03-Mar-26 2:30:00 PM GMT,40.5,59.8,20.4,21.1
03-Mar-26 3:00:00 PM GMT,40.4,59.8,20.5,21.1
03-Mar-26 3:30:00 PM GMT,40.4,59.5,20.5,21.0
03-Mar-26 4:00:00 PM GMT,40.5,59.7,20.7,21.2
03-Mar-26 4:30:00 PM GMT,40.5,59.5,20.7,21.4
03-Mar-26 5:00:00 PM GMT,40.3,59.3,20.7,21.2
03-Mar-26 5:30:00 PM GMT,39.6,59.3,20.8,21.3
03-Mar-26 6:00:00 PM GMT,38.0,59.1,20.8,21.3
03-Mar-26 6:30:00 PM GMT,32.0,58.8,20.9,21.5
03-Mar-26 7:00:00 PM GMT,28.9,59.3,20.7,21.4
03-Mar-26 7:30:00 PM GMT,27.9,59.9,20.7,21.5
03-Mar-26 8:00:00 PM GMT,27.8,60.2,20.4,21.2
03-Mar-26 8:30:00 PM GMT,27.2,59.7,20.4,20.9
03-Mar-26 9:00:00 PM GMT,26.7,59.8,20.3,21.0
03-Mar-26 9:30:00 PM GMT,26.2,59.5,20.3,20.9
03-Mar-26 10:00:00 PM GMT,26.1,59.6,20.3,20.9
03-Mar-26 10:30:00 PM GMT,25.9,59.2,20.3,20.9
03-Mar-26 11:00:00 PM GMT,25.4,59.1,20.4,21.0
03-Mar-26 11:30:00 PM GMT,25.5,59.2,20.3,21.1
04-Mar-26 12:00:00 AM GMT,25.6,59.5,20.3,21.0
04-Mar-26 12:30:00 AM GMT,25.9,59.9,20.3,21.1
04-Mar-26 1:00:00 AM GMT,25.9,59.9,20.4,21.2
04-Mar-26 1:30:00 AM GMT,25.8,59.5,20.4,21.1
04-Mar-26 2:00:00 AM GMT,25.7,59.7,20.5,21.1
04-Mar-26 2:30:00 AM GMT,25.4,59.9,20.4,21.1
04-Mar-26 3:00:00 AM GMT,25.2,59.3,20.4,21.1
04-Mar-26 3:30:00 AM GMT,25.3,59.4,20.3,21.0
04-Mar-26 4:00:00 AM GMT,25.1,59.1,20.2,20.8
04-Mar-26 4:30:00 AM GMT,24.7,58.5,20.2,20.8
04-Mar-26 5:00:00 AM GMT,25.0,59.1,20.3,20.9
04-Mar-26 5:30:00 AM GMT,24.8,59.1,20.2,20.9
04-Mar-26 6:00:00 AM GMT,25.0,59.2,20.3,21.1
04-Mar-26 6:30:00 AM GMT,25.1,59.6,20.3,21.1
04-Mar-26 7:00:00 AM GMT,25.3,59.9,20.3,21.1
04-Mar-26 7:30:00 AM GMT,24.6,59.8,20.2,21.0
04-Mar-26 8:00:00 AM GMT,25.3,59.7,20.2,20.9
04-Mar-26 8:30:00 AM GMT,25.9,59.7,20.2,20.9
04-Mar-26 9:00:00 AM GMT,26.4,59.4,20.2,20.9
04-Mar-26 9:30:00 AM GMT,26.7,59.6,20.2,21.0
04-Mar-26 10:00:00 AM GMT,27.0,59.4,20.1,21.0
04-Mar-26 10:30:00 AM GMT,27.3,59.1,20.2,21.0
04-Mar-26 11:00:00 AM GMT,27.4,59.4,20.2,20.9
04-Mar-26 11:30:00 AM GMT,27.6,59.7,20.2,20.9
04-Mar-26 12:00:00 PM GMT,27.6,59.7,20.2,20.8
04-Mar-26 12:30:00 PM GMT,27.9,59.1,20.1,20.7
04-Mar-26 1:00:00 PM GMT,28.1,59.1,20.1,20.6
04-Mar-26 1:30:00 PM GMT,28.2,59.3,20.1,20.7
04-Mar-26 2:00:00 PM GMT,28.9,59.3,20.3,20.8
04-Mar-26 2:30:00 PM GMT,29.1,59.0,20.3,20.9
04-Mar-26 3:00:00 PM GMT,28.9,59.5,20.2,20.9
04-Mar-26 3:30:00 PM GMT,28.8,59.5,20.2,20.9
04-Mar-26 4:00:00 PM GMT,28.9,60.0,20.3,21.0
04-Mar-26 4:30:00 PM GMT,28.8,59.8,20.2,20.9
04-Mar-26 5:00:00 PM GMT,28.5,59.9,20.4,20.9
04-Mar-26 5:30:00 PM GMT,28.7,59.9,20.6,21.1
04-Mar-26 6:00:00 PM GMT,28.9,59.9,20.7,21.2
04-Mar-26 6:30:00 PM GMT,29.2,59.7,20.7,21.1
04-Mar-26 7:00:00 PM GMT,28.7,59.4,20.7,21.1
04-Mar-26 7:30:00 PM GMT,28.3,59.9,20.6,21.0
04-Mar-26 8:00:00 PM GMT,28.1,60.1,20.6,21.1
04-Mar-26 8:30:00 PM GMT,27.6,60.0,20.6,21.2
04-Mar-26 9:00:00 PM GMT,27.5,59.8,20.8,21.3
04-Mar-26 9:30:00 PM GMT,27.2,59.7,20.7,21.1
04-Mar-26 10:00:00 PM GMT,27.2,59.6,20.8,21.2
04-Mar-26 10:30:00 PM GMT,27.1,59.0,20.7,21.0
04-Mar-26 11:00:00 PM GMT,26.8,59.3,20.7,21.0
04-Mar-26 11:30:00 PM GMT,26.6,59.3,20.6,20.7
05-Mar-26 12:00:00 AM GMT,26.4,59.1,20.6,20.8
05-Mar-26 12:30:00 AM GMT,26.3,58.8,20.6,20.7
05-Mar-26 1:00:00 AM GMT,26.5,58.8,20.6,20.8
05-Mar-26 1:30:00 AM GMT,26.5,59.0,20.6,20.9
05-Mar-26 2:00:00 AM GMT,26.3,59.3,20.7,21.0
05-Mar-26 2:30:00 AM GMT,26.1,59.6,20.7,21.1
05-Mar-26 3:00:00 AM GMT,25.9,59.7,20.7,21.2
05-Mar-26 3:30:00 AM GMT,26.6,59.6,20.7,21.1
05-Mar-26 4:00:00 AM GMT,25.9,59.9,20.7,21.2
05-Mar-26 4:30:00 AM GMT,26.4,59.8,20.7,21.0
05-Mar-26 5:00:00 AM GMT,26.5,59.4,20.7,21.0
05-Mar-26 5:30:00 AM GMT,26.3,58.9,20.7,21.0
05-Mar-26 6:00:00 AM GMT,26.1,59.1,20.7,20.9
05-Mar-26 6:30:00 AM GMT,25.9,59.1,20.6,20.9
05-Mar-26 7:00:00 AM GMT,26.0,59.2,20.6,20.9
05-Mar-26 7:30:00 AM GMT,25.7,59.3,20.4,21.0
05-Mar-26 8:00:00 AM GMT,25.9,59.3,20.4,21.0
05-Mar-26 8:30:00 AM GMT,26.5,59.4,20.4,21.0
05-Mar-26 9:00:00 AM GMT,26.9,59.6,20.3,21.0
05-Mar-26 9:30:00 AM GMT,27.5,59.6,20.3,20.9
05-Mar-26 10:00:00 AM GMT,27.9,59.6,20.3,21.0
05-Mar-26 10:30:00 AM GMT,29.1,59.5,20.5,21.2
05-Mar-26 11:00:00 AM GMT,30.7,59.5,20.3,21.2
05-Mar-26 11:30:00 AM GMT,32.4,59.3,20.4,21.1
05-Mar-26 12:00:00 PM GMT,38.1,59.2,20.4,21.1
05-Mar-26 12:30:00 PM GMT,37.8,59.1,20.4,21.1
05-Mar-26 1:00:00 PM GMT,40.8,59.1,20.5,21.2
05-Mar-26 1:30:00 PM GMT,42.2,59.4,20.5,21.2
05-Mar-26 2:00:00 PM GMT,42.5,59.5,20.4,21.2
05-Mar-26 2:30:00 PM GMT,42.5,59.3,20.4,21.2
05-Mar-26 3:00:00 PM GMT,40.2,59.4,20.2,21.0
05-Mar-26 3:30:00 PM GMT,54.1,58.7,20.4,21.1
05-Mar-26 4:00:00 PM GMT,58.9,59.2,20.7,21.0
05-Mar-26 4:30:00 PM GMT,60.4,58.7,20.5,20.9
05-Mar-26 5:00:00 PM GMT,60.0,58.9,20.2,20.9
05-Mar-26 5:30:00 PM GMT,59.5,58.7,19.9,20.9
05-Mar-26 6:00:00 PM GMT,58.8,58.4,19.4,20.9
05-Mar-26 6:30:00 PM GMT,58.8,57.8,19.0,21.1
05-Mar-26 7:00:00 PM GMT,59.0,57.4,18.9,21.1
05-Mar-26 7:30:00 PM GMT,58.5,57.1,19.0,21.2
05-Mar-26 8:00:00 PM GMT,50.0,57.4,19.2,21.2
05-Mar-26 8:30:00 PM GMT,42.8,58.0,19.8,21.2
05-Mar-26 9:00:00 PM GMT,41.2,58.2,19.9,21.1
05-Mar-26 9:30:00 PM GMT,39.3,58.0,19.7,20.9
05-Mar-26 10:00:00 PM GMT,37.5,58.3,19.6,20.9
05-Mar-26 10:30:00 PM GMT,36.4,58.9,19.5,21.0
