Timestamp,ShriffPanelBoard30Minutes(kW-hr),ShriffMR130Minutes(kW-hr),ShriffMR230Minutes(kW-hr),ShriffMR330Minutes(kW-hr)
01-May-26 12:30:00 AM BST,18.1,19.6,22.6,20.2
01-May-26 1:00:00 AM BST,17.0,12.5,14.7,12.6
01-May-26 1:30:00 AM BST,15.2,12.0,14.0,12.6
01-May-26 2:00:00 AM BST,6.2,12.1,14.3,12.7
01-May-26 2:30:00 AM BST,13.4,12.1,14.2,12.6
01-May-26 3:00:00 AM BST,13.2,12.3,14.5,12.5
01-May-26 3:30:00 AM BST,12.3,11.9,13.9,12.3
01-May-26 4:00:00 AM BST,12.2,11.9,13.9,12.4
01-May-26 4:30:00 AM BST,10.0,12.0,14.1,12.4
01-May-26 5:00:00 AM BST,9.0,12.4,14.6,12.3
01-May-26 5:30:00 AM BST,12.2,11.8,13.6,12.1
01-May-26 6:00:00 AM BST,11.4,11.9,13.7,12.1
01-May-26 6:30:00 AM BST,7.9,12.0,13.8,12.1
01-May-26 7:00:00 AM BST,10.1,12.4,14.5,12.2
01-May-26 7:30:00 AM BST,12.4,11.8,13.8,12.2
01-May-26 8:00:00 AM BST,11.9,11.9,13.8,12.1
01-May-26 8:30:00 AM BST,5.5,12.0,13.8,12.1
01-May-26 9:00:00 AM BST,18.0,12.2,14.2,12.1
01-May-26 9:30:00 AM BST,13.8,11.9,13.7,12.2
01-May-26 10:00:00 AM BST,9.4,11.9,14.2,12.5
01-May-26 10:30:00 AM BST,17.4,12.3,14.0,12.4
01-May-26 11:00:00 AM BST,17.8,16.0,14.7,13.2
01-May-26 11:30:00 AM BST,20.8,12.2,14.0,12.4
01-May-26 12:00:00 PM BST,22.7,12.5,13.9,12.6
01-May-26 12:30:00 PM BST,26.4,19.9,15.1,15.3
01-May-26 1:00:00 PM BST,23.1,19.5,14.2,15.4
01-May-26 1:30:00 PM BST,29.3,25.3,14.6,16.3
01-May-26 2:00:00 PM BST,30.5,27.9,14.9,16.5
01-May-26 2:30:00 PM BST,42.2,33.5,15.8,16.7
01-May-26 3:00:00 PM BST,41.0,41.8,16.7,18.3
01-May-26 3:30:00 PM BST,36.5,50.8,20.1,20.3
01-May-26 4:00:00 PM BST,40.7,52.9,20.8,20.4
01-May-26 4:30:00 PM BST,40.5,52.8,20.8,20.4
01-May-26 5:00:00 PM BST,40.6,52.3,20.8,20.5
01-May-26 5:30:00 PM BST,40.6,52.4,20.6,20.5
01-May-26 6:00:00 PM BST,40.6,53.0,20.7,20.7
01-May-26 6:30:00 PM BST,40.6,53.2,20.6,20.7
01-May-26 7:00:00 PM BST,40.5,53.3,20.7,20.8
01-May-26 7:30:00 PM BST,40.3,53.4,20.8,20.7
01-May-26 8:00:00 PM BST,40.6,53.6,20.4,20.7
01-May-26 8:30:00 PM BST,40.4,53.8,20.2,20.5
01-May-26 9:00:00 PM BST,40.5,53.8,20.2,20.6
