timestamp,room_it_kwh,panel_kwh,room_total_kwh,irc_kwh,final_it_kwh,facility_kwh_final,pue
2026-02-01 00:30:00,71.5,17.1,88.6,5.0,66.5,88.6,1.332330827067669
2026-02-01 01:00:00,71.80000000000001,18.1,89.9,4.0,67.80000000000001,89.9,1.3259587020648966
2026-02-01 01:30:00,72.39999999999999,18.4,90.79999999999998,4.0,68.39999999999999,90.79999999999998,1.327485380116959
2026-02-01 02:00:00,72.6,18.6,91.19999999999999,3.0,69.6,91.19999999999999,1.3103448275862069
2026-02-01 02:30:00,72.6,18.3,90.89999999999999,2.0,70.6,90.89999999999999,1.2875354107648724
2026-02-01 03:00:00,72.6,18.1,90.69999999999999,6.0,66.6,90.69999999999999,1.3618618618618619
2026-02-01 03:30:00,72.9,18.1,91.0,3.0,69.9,91.0,1.3018597997138768
2026-02-01 04:00:00,73.2,18.2,91.4,4.0,69.2,91.4,1.3208092485549132
2026-02-01 04:30:00,73.1,18.1,91.19999999999999,4.0,69.1,91.19999999999999,1.3198263386396527
2026-02-01 05:00:00,73.3,18.3,91.6,3.0,70.3,91.6,1.3029871977240397
2026-02-01 05:30:00,73.2,18.3,91.5,5.0,68.2,91.5,1.3416422287390029
2026-02-01 06:00:00,73.2,18.2,91.4,2.0,71.2,91.4,1.2837078651685394
2026-02-01 06:30:00,73.3,18.2,91.5,6.0,67.3,91.5,1.3595839524517088
2026-02-01 07:00:00,73.4,18.2,91.60000000000001,3.0,70.4,91.60000000000001,1.3011363636363638
2026-02-01 07:30:00,72.9,18.1,91.0,4.0,68.9,91.0,1.320754716981132
2026-02-01 08:00:00,72.5,18.0,90.5,4.0,68.5,90.5,1.3211678832116789
2026-02-01 08:30:00,72.2,18.5,90.7,3.0,69.2,90.7,1.310693641618497
2026-02-01 09:00:00,72.3,19.1,91.4,7.0,65.3,91.4,1.3996937212863707
2026-02-01 09:30:00,72.1,19.5,91.6,2.0,70.1,91.6,1.3067047075606277
2026-02-01 10:00:00,71.8,19.5,91.3,4.0,67.8,91.3,1.3466076696165192
2026-02-01 10:30:00,71.9,19.8,91.7,3.0,68.9,91.7,1.3309143686502176
2026-02-01 11:00:00,72.0,18.9,90.9,3.0,69.0,90.9,1.3173913043478263
2026-02-01 11:30:00,72.4,19.3,91.7,7.0,65.4,91.7,1.4021406727828745
2026-02-01 12:00:00,72.8,19.4,92.19999999999999,2.0,70.8,92.19999999999999,1.3022598870056497
2026-02-01 12:30:00,72.6,19.7,92.3,5.0,67.6,92.3,1.3653846153846154
2026-02-01 13:00:00,72.6,20.2,92.8,6.0,66.6,92.8,1.3933933933933935
2026-02-01 13:30:00,72.6,18.9,91.5,2.0,70.6,91.5,1.2960339943342778
2026-02-01 14:00:00,72.3,17.5,89.8,5.0,67.3,89.8,1.3343239227340267
2026-02-01 14:30:00,72.3,17.1,89.4,3.0,69.3,89.4,1.29004329004329
2026-02-01 15:00:00,72.4,17.3,89.7,4.0,68.4,89.7,1.3114035087719298
