timestamp,room_it_kwh,irc_kwh,panel_kwh (cooling plant),final_it_kwh,facility_kwh_final,pue,,
2026-04-09 12:00:00,95.4,7,58.2,88.4,153.6,1.73755656108597,,
2026-04-09 12:30:00,96.3,10,49,86.3,145.3,1.68366164542294,,
2026-04-09 13:00:00,95.3,5,49.1,90.3,144.4,1.59911406423034,,Definitions
2026-04-09 13:30:00,95.8,7,59.7,88.8,155.5,1.75112612612613,,
2026-04-09 14:00:00,95.9,9,49.1,86.9,145,1.66858457997699,,room_it_kwh = IT + water cooling In-row chillers in the data center
2026-04-09 14:30:00,95.2,8,47,87.2,142.2,1.63073394495413,,
2026-04-09 15:00:00,95.2,5,60.5,90.2,155.7,1.72616407982262,,irc_kwh = water cooling in-row chillers 
2026-04-09 15:30:00,96.4,10,50.1,86.4,146.5,1.69560185185185,,
2026-04-09 16:00:00,95.8,7,48.3,88.8,144.1,1.62274774774775,,final_it_kwh = room_it_kwh - irc_kwh
2026-04-09 16:30:00,94.7,6,55.8,88.7,150.5,1.6967305524239,,
2026-04-09 17:00:00,96.2,8,53,88.2,149.2,1.69160997732426,,facility_kwh_final = final_it_kwh + irc_kwh + panel_kwh (cooling plant room)
2026-04-09 17:30:00,95.7,7,48.6,88.7,144.3,1.62683201803833,,
2026-04-09 18:00:00,95,6,52.2,89,147.2,1.65393258426966,,PUE = final_it_kwh/facility_kwh_final
2026-04-09 18:30:00,96.2,10,55.2,86.2,151.4,1.75638051044084,,
2026-04-09 19:00:00,95.8,6,47.9,89.8,143.7,1.60022271714922,,
2026-04-09 19:30:00,94.7,7,51,87.7,145.7,1.66134549600912,,
2026-04-09 20:00:00,95.4,9,56.2,86.4,151.6,1.75462962962963,,
2026-04-09 20:30:00,95.5,6,47.1,89.5,142.6,1.59329608938547,,
2026-04-09 21:00:00,94.4,7,47,87.4,141.4,1.61784897025172,,
2026-04-09 21:30:00,94,8,56,86,150,1.74418604651163,,
2026-04-09 22:00:00,94.7,5,39.8,89.7,134.5,1.49944258639911,,
2026-04-09 22:30:00,94.5,10,37.2,84.5,131.7,1.5585798816568,,
2026-04-09 23:00:00,93.7,5,37.1,88.7,130.8,1.47463359639233,,
2026-04-09 23:30:00,95,7,33.5,88,128.5,1.46022727272727,,
2026-04-10 00:00:00,95.1,9,25.5,86.1,120.6,1.4006968641115,,
2026-04-10 00:30:00,94.8,10,29.9,84.8,124.7,1.47051886792453,,
2026-04-10 01:00:00,96.9,8,23.3,88.9,120.2,1.35208098987627,,
2026-04-10 01:30:00,97.3,8,24.9,89.3,122.2,1.36842105263158,,
2026-04-10 02:00:00,97.2,10,24.7,87.2,121.9,1.39793577981651,,
2026-04-10 02:30:00,97.6,8,24.7,89.6,122.3,1.36495535714286,,
2026-04-10 03:00:00,97.6,11,24.5,86.6,122.1,1.40993071593534,,
2026-04-10 03:30:00,97.5,9,24.2,88.5,121.7,1.37514124293785,,
2026-04-10 04:00:00,97.7,11,23.9,86.7,121.6,1.40253748558247,,
2026-04-10 04:30:00,97.6,8,24,89.6,121.6,1.35714285714286,,
2026-04-10 05:00:00,97.3,9,23.8,88.3,121.1,1.37146092865232,,
2026-04-10 05:30:00,97.2,9,23.6,88.2,120.8,1.36961451247166,,
2026-04-10 06:00:00,97.1,10,23.5,87.1,120.6,1.38461538461538,,
2026-04-10 06:30:00,96.8,8,23.5,88.8,120.3,1.35472972972973,,
2026-04-10 07:00:00,96.6,10,23.2,86.6,119.8,1.38337182448037,,
2026-04-10 07:30:00,96.9,9,23.2,87.9,120.1,1.36632536973834,,
2026-04-10 08:00:00,97,10,23.4,87,120.4,1.38390804597701,,
2026-04-10 08:30:00,97.2,9,23.7,88.2,120.9,1.37074829931973,,
2026-04-10 09:00:00,97.2,8,24.2,89.2,121.4,1.3609865470852,,
2026-04-10 09:30:00,97.8,10,24.7,87.8,122.5,1.39521640091116,,
2026-04-10 10:00:00,97.7,8,25.4,89.7,123.1,1.37235228539576,,
2026-04-10 10:30:00,97.2,7,28.5,90.2,125.7,1.39356984478936,,
2026-04-10 11:00:00,94.3,7,33.7,87.3,128,1.46620847651775,,
2026-04-10 11:30:00,95.6,9,24.3,86.6,119.9,1.38452655889146,,
2026-04-10 12:00:00,94.9,5,36.4,89.9,131.3,1.46051167964405,,
2026-04-10 12:30:00,94.6,9,32.2,85.6,126.8,1.48130841121495,,
2026-04-10 13:00:00,95.3,5,32.9,90.3,128.2,1.41971207087486,,
2026-04-10 13:30:00,94.5,10,38.1,84.5,132.6,1.56923076923077,,
2026-04-10 14:00:00,95.7,5,48,90.7,143.7,1.58434399117971,,
2026-04-10 14:30:00,95.8,9,45.5,86.8,141.3,1.6278801843318,,
2026-04-10 15:00:00,94.4,6,46.4,88.4,140.8,1.59276018099548,,
2026-04-10 15:30:00,95,9,59.3,86,154.3,1.79418604651163,,
2026-04-10 16:00:00,95.2,6,47.5,89.2,142.7,1.59977578475336,,
2026-04-10 16:30:00,94.4,8,45.8,86.4,140.2,1.62268518518519,,
2026-04-10 17:00:00,94.2,7,58.5,87.2,152.7,1.75114678899083,,
2026-04-10 17:30:00,95.4,7,48.8,88.4,144.2,1.63122171945701,,
2026-04-10 18:00:00,95.1,7,44.9,88.1,140,1.58910329171396,,
2026-04-10 18:30:00,94.8,9,55.8,85.8,150.6,1.75524475524476,,
2026-04-10 19:00:00,96,5,49.9,91,145.9,1.6032967032967,,
2026-04-10 19:30:00,95.7,7,45.5,88.7,141.2,1.59188275084555,,
2026-04-10 20:00:00,94.7,10,47,84.7,141.7,1.67296340023613,,
2026-04-10 20:30:00,96.1,5,39.6,91.1,135.7,1.48957189901207,,
2026-04-10 21:00:00,95.9,9,32.2,86.9,128.1,1.4741081703107,,
2026-04-10 21:30:00,94.8,8,30.3,86.8,125.1,1.44124423963134,,
2026-04-10 22:00:00,97.5,11,24.1,86.5,121.6,1.40578034682081,,
2026-04-10 22:30:00,97,9,25,88,122,1.38636363636364,,
2026-04-10 23:00:00,97.1,11,24.8,86.1,121.9,1.41579558652729,,
2026-04-10 23:30:00,97.2,6,24.6,91.2,121.8,1.33552631578947,,
2026-04-11 00:00:00,97.1,11,24.4,86.1,121.5,1.41114982578397,,
2026-04-11 00:30:00,97.2,9,24.3,88.2,121.5,1.37755102040816,,
